"","lon","lat"
"1",-77.455428,37.547488
"2",-77.4645929,37.549737
"3",-77.466847,37.550617
"4",-77.461018,37.555453
"5",-77.468755,37.559992
"6",-77.4451651,37.4961956
"7",-77.4357067,37.4944807
"8",-77.4391024,37.5018081
"9",-77.4366032,37.499991
"10",-77.4408731,37.4694489
"11",-77.441848,37.4664662
"12",-77.448964,37.4612917
"13",-77.413608,37.5746594
"14",-77.462072,37.551152
"15",-77.4498875,37.5975308
"16",-77.4628137,37.5496819
"17",-77.4639341,37.5569126
"18",-77.4803962,37.5599938
"19",-77.4508765,37.5191905
"20",-77.457181,37.51734
"21",-77.4533566,37.5178578
"22",-77.4605791,37.5113336
"23",-77.4540786,37.5178351
"24",-77.4617286,37.51033
"25",-77.4445104,37.4705351
"26",-77.4391696,37.4708043
"27",-77.4477313,37.4607283
"28",-77.4474512,37.4607495
"29",-77.4478546,37.4638704
"30",-77.4859749,37.5239514
"31",-77.4807898,37.5241774
"32",-77.4893205,37.5290577
"33",-77.470346,37.540493
"34",-77.4653906,37.5450809
"35",-77.4663358,37.5504684
"36",-77.4756414,37.5542736
"37",-77.4634559,37.5494709
"38",-77.4464202,37.4750817
"39",-77.4330169,37.4780705
"40",-77.4599901,37.5118048
"41",-77.4547955,37.5134036
"42",-77.4380938,37.5096143
"43",-77.4401959,37.5063601
"44",-77.4389455,37.5110386
"45",-77.4406825,37.504285
"46",-77.4604131,37.5496503
"47",-77.4707238,37.5525395
"48",-77.4796693,37.5606115
"49",-77.4798204,37.5616173
"50",-77.4581674,37.5502173
"51",-77.477481,37.558438
"52",-77.4852765,37.5447457
"53",-77.4704722,37.5404048
"54",-77.4556765,37.515432
"55",-77.4487511,37.4617509
"56",-77.4453332,37.4646765
"57",-77.4405481,37.4653416
"58",-77.4406728,37.4830183
"59",-77.4414334,37.484422
"60",-77.4480339,37.4615097
"61",-77.4413549,37.4763011
"62",-77.4693824,37.5424397
"63",-77.462632,37.551114
"64",-77.47274,37.546903
"65",-77.4518503,37.5126688
"66",-77.4796913,37.556496
"67",-77.462243,37.550896
"68",-77.4788871,37.5610236
"69",-77.467799,37.553145
"70",-77.4423411,37.4865399
"71",-77.440654,37.494677
"72",-77.4356282,37.4967588
"73",-77.440817,37.5030692
"74",-77.4422403,37.5889337
"75",-77.4381722,37.5076646
"76",-77.4396515,37.508726
"77",-77.4403239,37.5095775
"78",-77.4787593,37.5556325
"79",-77.4551305,37.5740008
"80",-77.4842347,37.552719
"81",-77.4547237,37.5190913
"82",-77.4509892,37.5926375
"83",-77.449726,37.5376176
"84",-77.4531143,37.5414733
"85",-77.4520232,37.5376494
"86",-77.4430135,37.5083496
"87",-77.4400998,37.5071749
"88",-77.4442238,37.5050761
"89",-77.3957574,37.5137526
"90",-77.4586344,37.5128286
"91",-77.4482519,37.4743377
"92",-77.4881331,37.5523173
"93",-77.4028028,37.5420973
"94",-77.4897574,37.5238256
"95",-77.4785997,37.5222191
"96",-77.4577155,37.5839116
"97",-77.420624,37.569168
"98",-77.4657558,37.5155482
"99",-77.46095,37.5484889
"100",-77.4789981,37.5568531
"101",-77.4623654,37.5503916
"102",-77.4806273,37.5546725
"103",-77.4997649,37.5257958
"104",-77.4998921,37.5246258
"105",-77.5076293,37.5200384
"106",-77.4076625,37.5391022
"107",-77.4158577,37.5418467
"108",-77.421111,37.5627583
"109",-77.4409627,37.4762282
"110",-77.481526,37.5571283
"111",-77.4555143,37.5469582
"112",-77.4880321,37.5754859
"113",-77.4503691,37.5827113
"114",-77.4518439,37.5403765
"115",-77.4518775,37.5406568
"116",-77.4518553,37.5409828
"117",-77.4841115,37.5432271
"118",-77.4448065,37.4619835
"119",-77.4383067,37.5032502
"120",-77.4706229,37.5330889
"121",-77.4693028,37.5076436
"122",-77.4689507,37.535413
"123",-77.444621,37.5181808
"124",-77.4723707,37.5342194
"125",-77.4692584,37.5061335
"126",-77.4693044,37.5461649
"127",-77.4049949,37.5367635
"128",-77.4694013,37.5452102
"129",-77.4777738,37.5604524
"130",-77.460504,37.555834
"131",-77.463033,37.549773
"132",-77.480782,37.5574827
"133",-77.4775678,37.5617881
"134",-77.4690096,37.5309478
"135",-77.4714072,37.5316357
"136",-77.4466107,37.4627827
"137",-77.4396964,37.4733739
"138",-77.4466892,37.4770799
"139",-77.4334652,37.476806
"140",-77.4479443,37.4617873
"141",-77.4385869,37.5056281
"142",-77.4670075,37.5526644
"143",-77.414908,37.577437
"144",-77.4186124,37.5728826
"145",-77.4506112,37.5904593
"146",-77.4514965,37.53996
"147",-77.408683,37.5352864
"148",-77.4136398,37.5433317
"149",-77.469656,37.545799
"150",-77.4485606,37.463813
"151",-77.4445376,37.4704482
"152",-77.4317617,37.4778124
"153",-77.4472831,37.4608237
"154",-77.4444816,37.463395
"155",-77.513498,37.49211
"156",-77.5162953,37.4908959
"157",-77.4448065,37.5042776
"158",-77.4816469,37.5559558
"159",-77.4820054,37.5559943
"160",-77.4689263,37.5513827
"161",-77.460669,37.551114
"162",-77.4762609,37.564586
"163",-77.4574543,37.5508332
"164",-77.4781876,37.5547136
"165",-77.4505822,37.5434381
"166",-77.4377239,37.5073703
"167",-77.4428342,37.5080023
"168",-77.4435514,37.5105809
"169",-77.4440333,37.514682
"170",-77.4876066,37.5156399
"171",-77.4639565,37.5071868
"172",-77.4880098,37.5436451
"173",-77.4511061,37.5969758
"174",-77.4592214,37.5957001
"175",-77.4507054,37.595166
"176",-77.4677644,37.5528556
"177",-77.4806384,37.5600544
"178",-77.4634324,37.5531007
"179",-77.4767237,37.5648684
"180",-77.4599084,37.550835
"181",-77.4318065,37.4781043
"182",-77.5147561,37.4895969
"183",-77.4656951,37.5385915
"184",-77.4666662,37.540944
"185",-77.4677524,37.5403939
"186",-77.468265,37.5424241
"187",-77.4683262,37.5337835
"188",-77.4632012,37.5113355
"189",-77.4747702,37.560666
"190",-77.4693957,37.5542426
"191",-77.4577202,37.5474381
"192",-77.462834,37.549702
"193",-77.466277,37.553102
"194",-77.397596,37.5143611
"195",-77.4615886,37.513574
"196",-77.4575922,37.5161603
"197",-77.4718777,37.5342075
