"","lon","lat"
"1",-77.4949549,37.4969457
"2",-77.5108796,37.4752143
"3",-77.5042405,37.5164478
"4",-77.5022916,37.5133069
"5",-77.5437153,37.5341273
"6",-77.5460861,37.5304981
"7",-77.4338699,37.5787352
"8",-77.4849628,37.5237626
"9",-77.4672085,37.5807945
"10",-77.4654777,37.583807
"11",-77.4644383,37.5802918
"12",-77.4557882,37.5916921
"13",-77.455833,37.5921065
"14",-77.4551426,37.5959657
"15",-77.5514519,37.5429171
"16",-77.5482629,37.5390957
"17",-77.5168825,37.5354723
"18",-77.5162497,37.5347066
"19",-77.5365269,37.5384646
"20",-77.5021684,37.5306905
"21",-77.5160116,37.5295479
"22",-77.5199985,37.5337874
"23",-77.4019233,37.5144799
"24",-77.408109,37.5282107
"25",-77.4056535,37.5330009
"26",-77.4406825,37.5728202
"27",-77.4041569,37.533018
"28",-77.4012787,37.5338586
"29",-77.408606,37.528415
"30",-77.404412,37.5280927
"31",-77.451658,37.5958964
"32",-77.4432712,37.5064285
"33",-77.4536545,37.5742961
"34",-77.4221228,37.5804475
"35",-77.4554158,37.5911126
"36",-77.4643652,37.5121984
"37",-77.4198811,37.5757815
"38",-77.4417584,37.5078865
"39",-77.4050175,37.5344376
"40",-77.4074337,37.5312703
"41",-77.4451429,37.5499885
"42",-77.4058133,37.5144385
"43",-77.4215233,37.5615515
"44",-77.3931115,37.5166237
"45",-77.417142,37.54465
"46",-77.4134427,37.5406116
"47",-77.4978672,37.4877404
"48",-77.5166387,37.489954
"49",-77.5138949,37.4971372
"50",-77.5142783,37.4890614
"51",-77.5109705,37.49283
"52",-77.5082498,37.5069456
"53",-77.510293,37.506305
"54",-77.5112182,37.5150108
"55",-77.4105453,37.5376528
"56",-77.4137385,37.5420516
"57",-77.4447856,37.548192
"58",-77.4370143,37.5497057
"59",-77.4085852,37.5291679
"60",-77.4040943,37.5264082
"61",-77.40869,37.527624
"62",-77.5082799,37.5080845
"63",-77.5118229,37.5128948
"64",-77.4775802,37.4917505
"65",-77.5123941,37.5350215
"66",-77.5014515,37.5296297
"67",-77.5180722,37.5348524
"68",-77.5129418,37.5352804
"69",-77.4589704,37.4645724
"70",-77.4433385,37.5056883
"71",-77.4622337,37.5878747
"72",-77.464211,37.5042824
"73",-77.4888612,37.5164305
"74",-77.4384748,37.582773
"75",-77.4619335,37.5903436
"76",-77.43351,37.5795857
"77",-77.4338238,37.5806027
"78",-77.4886372,37.5040211
"79",-77.4997938,37.4909415
"80",-77.4895333,37.4997284
"81",-77.4853101,37.4954918
"82",-77.4811988,37.5000654
"83",-77.4962543,37.4756284
"84",-77.4898022,37.4968039
"85",-77.5019444,37.4763606
"86",-77.4199371,37.5381398
"87",-77.411198,37.5430459
"88",-77.444431,37.550346
"89",-77.4283545,37.5720657
"90",-77.4369575,37.5468913
"91",-77.4291615,37.5706778
"92",-77.4414894,37.5663105
"93",-77.4438876,37.5711371
"94",-77.4390127,37.5104923
"95",-77.4771016,37.5089864
"96",-77.4746041,37.5063705
"97",-77.4522443,37.5855896
"98",-77.463766,37.5789495
"99",-77.4663654,37.580294
"100",-77.4630713,37.5784447
"101",-77.4567502,37.5745038
"102",-77.4942828,37.5057744
"103",-77.4636606,37.4752829
"104",-77.4779724,37.4645598
"105",-77.514293,37.500419
"106",-77.4979905,37.4879895
"107",-77.4994354,37.4867596
"108",-77.511263,37.4839225
"109",-77.5036469,37.4908617
"110",-77.4349782,37.5658655
"111",-77.4423411,37.5709912
"112",-77.4123934,37.5370701
"113",-77.4167317,37.5328184
"114",-77.4134998,37.5344484
"115",-77.4396067,37.5708606
"116",-77.4361532,37.5644435
"117",-77.4372308,37.5654832
"118",-77.4721025,37.5071597
"119",-77.4391136,37.5767071
"120",-77.4390688,37.5774807
"121",-77.4375895,37.5833843
"122",-77.4175894,37.5787601
"123",-77.4840555,37.5190626
"124",-77.4868448,37.5183877
"125",-77.4116311,37.5726383
"126",-77.5047321,37.4873279
"127",-77.5133012,37.4937339
"128",-77.513151,37.4926162
"129",-77.5104239,37.4963623
"130",-77.5146282,37.5423178
"131",-77.5216224,37.5465696
"132",-77.5750838,37.5335956
"133",-77.5806357,37.5327101
"134",-77.4327704,37.5675636
"135",-77.4342721,37.5661889
"136",-77.4189786,37.5292851
"137",-77.4081227,37.5265248
"138",-77.404967,37.5284181
"139",-77.406387,37.530076
"140",-77.4087358,37.5304099
"141",-77.404145,37.534565
"142",-77.517477,37.5463674
"143",-77.5509481,37.5395117
"144",-77.5268968,37.547275
"145",-77.5756883,37.5389291
"146",-77.5333804,37.5420132
"147",-77.5173983,37.5424815
"148",-77.5735615,37.536755
"149",-77.5210288,37.5463608
"150",-77.4415567,37.5421185
"151",-77.5275407,37.5718699
"152",-77.5240302,37.5029795
"153",-77.5160564,37.5026086
"154",-77.5155152,37.5037865
"155",-77.518378,37.503225
"156",-77.5178379,37.5021465
"157",-77.5165054,37.5023419
"158",-77.4111491,37.5318019
"159",-77.4081898,37.5309907
"160",-77.4132465,37.5341394
"161",-77.4152069,37.5326291
"162",-77.4980465,37.4733993
"163",-77.404625,37.5371232
"164",-77.406923,37.5452096
"165",-77.508512,37.50686
"166",-77.508805,37.50683
"167",-77.508196,37.5077295
"168",-77.5153844,37.5089354
"169",-77.5131109,37.5141777
"170",-77.4819606,37.5042076
"171",-77.4850525,37.4640056
"172",-77.4857694,37.4630564
"173",-77.4114634,37.5369868
"174",-77.4409067,37.5653054
"175",-77.4412205,37.5711983
"176",-77.4350903,37.5683359
"177",-77.410462,37.543819
"178",-77.4173874,37.5381437
"179",-77.4073092,37.5394098
"180",-77.4138839,37.5385057
"181",-77.4800001,37.4753536
"182",-77.5016307,37.4942559
"183",-77.4983823,37.475603
"184",-77.4906983,37.4947259
"185",-77.4850973,37.4953152
"186",-77.4872033,37.4981251
"187",-77.510143,37.5118198
"188",-77.4928042,37.5108247
"189",-77.4169821,37.5384393
"190",-77.41505,37.5418959
"191",-77.4164085,37.5436442
"192",-77.4209119,37.5335549
"193",-77.4204751,37.5332176
"194",-77.4156293,37.5298998
"195",-77.416843,37.529608
"196",-77.5049909,37.5083155
"197",-77.4884131,37.4831174
"198",-77.4779026,37.4901985
"199",-77.4968815,37.483204
"200",-77.4902054,37.4864685
"201",-77.4753284,37.4938984
"202",-77.478947,37.4894973
"203",-77.4992114,37.5282827
"204",-77.4117131,37.5402023
"205",-77.4132724,37.5356024
"206",-77.4140524,37.5324943
"207",-77.4110277,37.5289458
"208",-77.421058,37.5334239
"209",-77.413326,37.528595
"210",-77.4161219,37.5280627
"211",-77.4987651,37.5068217
"212",-77.5061484,37.505612
"213",-77.5144974,37.5044576
"214",-77.515847,37.502662
"215",-77.4446664,37.5669546
"216",-77.444883,37.566928
"217",-77.522843,37.5004833
"218",-77.4445218,37.5715433
"219",-77.4981473,37.5333246
"220",-77.4765832,37.498668
"221",-77.5036838,37.490126
"222",-77.5103859,37.4933465
"223",-77.5160338,37.4908305
"224",-77.5073206,37.4919522
"225",-77.4985393,37.4868688
"226",-77.4986136,37.4880959
"227",-77.411978,37.5353629
"228",-77.413193,37.53624
"229",-77.4285647,37.5706194
"230",-77.4480339,37.5685719
"231",-77.4468685,37.5689791
"232",-77.4366032,37.5706191
"233",-77.4504992,37.5665016
"234",-77.415123,37.538018
"235",-77.5180722,37.5021679
"236",-77.4435232,37.5643421
"237",-77.459934,37.5734368
"238",-77.4471038,37.5627661
"239",-77.4509452,37.6022561
"240",-77.4442786,37.4742428
"241",-77.4420273,37.4641877
"242",-77.4441724,37.4816094
"243",-77.4764487,37.4671047
